sep=	
time (source1)	x	time (source1)	y	time (source1)	z
18.234	32	18.243	192	18.228	-1016
18.268	28	18.269	204	18.252	-1020
18.294	32	18.293	204	18.279	-1016
18.318	36	18.317	200	18.303	-1020
18.343	28	18.343	196	18.336	-1024
18.368	24	18.376	204	18.37	-1008
18.398	32	18.399	200	18.395	-1012
18.427	32	18.434	200	18.418	-1020
18.46	32	18.459	204	18.452	-1020
18.486	28	18.493	196	18.478	-1024
18.518	28	18.518	196	18.503	-1016
18.544	20	18.543	204	18.536	-1012
18.566	36	18.576	200	18.562	-1024
18.601	32	18.602	200	18.586	-1020
18.626	32	18.626	196	18.618	-1032
18.652	36	18.659	196	18.646	-1016
18.684	36	18.686	204	18.667	-1008
18.71	20	18.709	208	18.701	-1028
18.739	32	18.743	196	18.733	-1012
18.766	24	18.776	192	18.761	-1020
18.801	24	18.8	204	18.785	-1016
18.827	32	18.826	200	18.819	-1016
18.849	36	18.859	200	18.845	-1016
18.883	36	18.881	200	18.867	-1008
18.91	36	18.91	200	18.901	-1012
18.935	32	18.943	200	18.937	-1016
18.966	32	18.977	200	18.962	-1012
19	32	19.002	196	18.989	-1028
19.027	32	19.027	204	19.012	-1012
19.05	24	19.049	200	19.034	-1016
19.077	28	19.076	200	19.068	-1016
19.104	36	19.11	196	19.108	-1020
19.133	32	19.144	200	19.128	-1020
19.167	24	19.166	204	19.151	-1024
19.193	24	19.192	188	19.185	-1012
19.219	32	19.227	200	19.211	-1016
19.251	32	19.251	208	19.237	-1020
