X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-79.854868,43.259423,"0","0","136",86.6,2025/10/26 01:34:35+00,,,,,,,,,,,,,,,,,,,,,
-79.854868,43.259423,"0","0","137",86.6,2025/10/26 01:34:36+00,,,,,,,,,,,,,,,,,,,,,
-79.854868,43.259423,"0","0","138",86.6,2025/10/26 01:34:37+00,,,,,,,,,,,,,,,,,,,,,
-79.854868,43.259423,"0","0","139",86.6,2025/10/26 01:34:38+00,,,,,,,,,,,,,,,,,,,,,
-79.854868,43.259423,"0","0","140",86.6,2025/10/26 01:34:39+00,,,,,,,,,,,,,,,,,,,,,
-79.854868,43.259423,"0","0","141",86.6,2025/10/26 01:34:40+00,,,,,,,,,,,,,,,,,,,,,
-79.854868,43.259423,"0","0","142",86.6,2025/10/26 01:34:41+00,,,,,,,,,,,,,,,,,,,,,
-79.854868,43.259423,"0","0","143",86.6,2025/10/26 01:34:42+00,,,,,,,,,,,,,,,,,,,,,
-79.854868,43.259423,"0","0","144",86.6,2025/10/26 01:34:43+00,,,,,,,,,,,,,,,,,,,,,
-79.854852,43.259417,"0","0","145",86.7,2025/10/26 01:34:44+00,,,,,,,,,,,,,,,,,,,,,
-79.854847,43.259415,"0","0","146",86.7,2025/10/26 01:34:45+00,,,,,,,,,,,,,,,,,,,,,
-79.854841,43.259414,"0","0","147",86.7,2025/10/26 01:34:46+00,,,,,,,,,,,,,,,,,,,,,
-79.854841,43.259414,"0","0","148",86.7,2025/10/26 01:34:47+00,,,,,,,,,,,,,,,,,,,,,
-79.854841,43.259414,"0","0","149",86.7,2025/10/26 01:34:48+00,,,,,,,,,,,,,,,,,,,,,
-79.854829,43.259413,"0","0","150",86.7,2025/10/26 01:34:49+00,,,,,,,,,,,,,,,,,,,,,
-79.854822,43.259412,"0","0","151",86.7,2025/10/26 01:34:50+00,,,,,,,,,,,,,,,,,,,,,
-79.85481,43.25941,"0","0","152",86.7,2025/10/26 01:34:51+00,,,,,,,,,,,,,,,,,,,,,
-79.854798,43.259407,"0","0","153",86.7,2025/10/26 01:34:52+00,,,,,,,,,,,,,,,,,,,,,
-79.854784,43.259403,"0","0","154",86.8,2025/10/26 01:34:53+00,,,,,,,,,,,,,,,,,,,,,
-79.854775,43.2594,"0","0","155",86.8,2025/10/26 01:34:54+00,,,,,,,,,,,,,,,,,,,,,
-79.854767,43.259398,"0","0","156",86.8,2025/10/26 01:34:55+00,,,,,,,,,,,,,,,,,,,,,
-79.854754,43.259395,"0","0","157",86.8,2025/10/26 01:34:56+00,,,,,,,,,,,,,,,,,,,,,
-79.854737,43.259391,"0","0","158",86.8,2025/10/26 01:34:57+00,,,,,,,,,,,,,,,,,,,,,
-79.854731,43.259389,"0","0","159",86.8,2025/10/26 01:34:58+00,,,,,,,,,,,,,,,,,,,,,
-79.854731,43.259389,"0","0","160",86.8,2025/10/26 01:34:59+00,,,,,,,,,,,,,,,,,,,,,
-79.854731,43.259389,"0","0","161",86.8,2025/10/26 01:35:00+00,,,,,,,,,,,,,,,,,,,,,
-79.854731,43.259389,"0","0","162",86.8,2025/10/26 01:35:01+00,,,,,,,,,,,,,,,,,,,,,
-79.854731,43.259389,"0","0","163",86.8,2025/10/26 01:35:02+00,,,,,,,,,,,,,,,,,,,,,
-79.854731,43.259389,"0","0","164",86.8,2025/10/26 01:35:03+00,,,,,,,,,,,,,,,,,,,,,
-79.854719,43.259386,"0","0","165",86.8,2025/10/26 01:35:04+00,,,,,,,,,,,,,,,,,,,,,
-79.854712,43.259384,"0","0","166",86.8,2025/10/26 01:35:05+00,,,,,,,,,,,,,,,,,,,,,
-79.854703,43.259382,"0","0","167",86.8,2025/10/26 01:35:06+00,,,,,,,,,,,,,,,,,,,,,
-79.854693,43.259379,"0","0","168",86.8,2025/10/26 01:35:07+00,,,,,,,,,,,,,,,,,,,,,
-79.854686,43.259379,"0","0","169",86.8,2025/10/26 01:35:08+00,,,,,,,,,,,,,,,,,,,,,
-79.854675,43.259376,"0","0","170",86.8,2025/10/26 01:35:09+00,,,,,,,,,,,,,,,,,,,,,
-79.854667,43.259376,"0","0","171",86.8,2025/10/26 01:35:10+00,,,,,,,,,,,,,,,,,,,,,
-79.854659,43.259376,"0","0","172",86.8,2025/10/26 01:35:11+00,,,,,,,,,,,,,,,,,,,,,
-79.854654,43.259377,"0","0","173",86.8,2025/10/26 01:35:12+00,,,,,,,,,,,,,,,,,,,,,
-79.854648,43.259374,"0","0","174",86.8,2025/10/26 01:35:13+00,,,,,,,,,,,,,,,,,,,,,
-79.854651,43.259376,"0","0","175",86.8,2025/10/26 01:35:14+00,,,,,,,,,,,,,,,,,,,,,
-79.854634,43.259372,"0","0","176",86.8,2025/10/26 01:35:15+00,,,,,,,,,,,,,,,,,,,,,
-79.854618,43.259366,"0","0","177",86.8,2025/10/26 01:35:16+00,,,,,,,,,,,,,,,,,,,,,
-79.854608,43.259364,"0","0","178",86.8,2025/10/26 01:35:17+00,,,,,,,,,,,,,,,,,,,,,
-79.854594,43.259359,"0","0","179",86.8,2025/10/26 01:35:18+00,,,,,,,,,,,,,,,,,,,,,
-79.854587,43.25936,"0","0","180",86.8,2025/10/26 01:35:19+00,,,,,,,,,,,,,,,,,,,,,
-79.854582,43.259358,"0","0","181",86.8,2025/10/26 01:35:20+00,,,,,,,,,,,,,,,,,,,,,
-79.854575,43.259357,"0","0","182",86.8,2025/10/26 01:35:21+00,,,,,,,,,,,,,,,,,,,,,
-79.854565,43.259356,"0","0","183",86.8,2025/10/26 01:35:22+00,,,,,,,,,,,,,,,,,,,,,
-79.854555,43.259353,"0","0","184",86.8,2025/10/26 01:35:23+00,,,,,,,,,,,,,,,,,,,,,
-79.854544,43.259352,"0","0","185",86.8,2025/10/26 01:35:24+00,,,,,,,,,,,,,,,,,,,,,
-79.854537,43.25935,"0","0","186",86.8,2025/10/26 01:35:25+00,,,,,,,,,,,,,,,,,,,,,
-79.854529,43.259348,"0","0","187",86.8,2025/10/26 01:35:26+00,,,,,,,,,,,,,,,,,,,,,
-79.854518,43.259345,"0","0","188",86.8,2025/10/26 01:35:27+00,,,,,,,,,,,,,,,,,,,,,
-79.854506,43.259343,"0","0","189",86.8,2025/10/26 01:35:28+00,,,,,,,,,,,,,,,,,,,,,
-79.854493,43.259343,"0","0","190",86.8,2025/10/26 01:35:29+00,,,,,,,,,,,,,,,,,,,,,
-79.854478,43.259343,"0","0","191",86.8,2025/10/26 01:35:30+00,,,,,,,,,,,,,,,,,,,,,
-79.854465,43.259339,"0","0","192",86.8,2025/10/26 01:35:31+00,,,,,,,,,,,,,,,,,,,,,
-79.854454,43.259335,"0","0","193",86.8,2025/10/26 01:35:32+00,,,,,,,,,,,,,,,,,,,,,
-79.854444,43.259329,"0","0","194",86.8,2025/10/26 01:35:33+00,,,,,,,,,,,,,,,,,,,,,
-79.854434,43.259323,"0","0","195",86.8,2025/10/26 01:35:34+00,,,,,,,,,,,,,,,,,,,,,
-79.854423,43.25932,"0","0","196",86.8,2025/10/26 01:35:35+00,,,,,,,,,,,,,,,,,,,,,
-79.854412,43.259316,"0","0","197",86.8,2025/10/26 01:35:36+00,,,,,,,,,,,,,,,,,,,,,
-79.854402,43.259313,"0","0","198",86.8,2025/10/26 01:35:37+00,,,,,,,,,,,,,,,,,,,,,
-79.854394,43.259311,"0","0","199",86.8,2025/10/26 01:35:38+00,,,,,,,,,,,,,,,,,,,,,
-79.854379,43.259308,"0","0","200",86.8,2025/10/26 01:35:39+00,,,,,,,,,,,,,,,,,,,,,
-79.854374,43.259306,"0","0","201",86.8,2025/10/26 01:35:40+00,,,,,,,,,,,,,,,,,,,,,
-79.854368,43.259304,"0","0","202",86.8,2025/10/26 01:35:41+00,,,,,,,,,,,,,,,,,,,,,
-79.854363,43.259302,"0","0","203",86.8,2025/10/26 01:35:42+00,,,,,,,,,,,,,,,,,,,,,
-79.854358,43.259301,"0","0","204",86.8,2025/10/26 01:35:43+00,,,,,,,,,,,,,,,,,,,,,
-79.854353,43.259299,"0","0","205",86.8,2025/10/26 01:35:44+00,,,,,,,,,,,,,,,,,,,,,
-79.854347,43.259297,"0","0","206",86.8,2025/10/26 01:35:45+00,,,,,,,,,,,,,,,,,,,,,
-79.854342,43.259295,"0","0","207",86.8,2025/10/26 01:35:46+00,,,,,,,,,,,,,,,,,,,,,
-79.854337,43.259293,"0","0","208",86.8,2025/10/26 01:35:47+00,,,,,,,,,,,,,,,,,,,,,
-79.854323,43.259287,"0","0","209",86.8,2025/10/26 01:35:48+00,,,,,,,,,,,,,,,,,,,,,
-79.854309,43.259283,"0","0","210",86.8,2025/10/26 01:35:49+00,,,,,,,,,,,,,,,,,,,,,
-79.854295,43.259278,"0","0","211",86.8,2025/10/26 01:35:50+00,,,,,,,,,,,,,,,,,,,,,
-79.854283,43.259273,"0","0","212",86.8,2025/10/26 01:35:51+00,,,,,,,,,,,,,,,,,,,,,
-79.854275,43.259269,"0","0","213",86.7,2025/10/26 01:35:52+00,,,,,,,,,,,,,,,,,,,,,
